BHID,DM,XCOLLAR,YCOLLAR,ZCOLLAR,YEAR,ZCONVERS,DEPTH,DATUMZON,SURVMETH,PROSPECT,SELMOD,STARTDATE,ENDDATE,COMMENTS,BHIDNICK,CHKLITHO,CHKASSAY,CHKSURVE
BAU-MIL5-DH02802,803503_1971,182384.897142,9642142.27177,125.7538281,2018,SURFACEPROJECTED,18.32,SAD69_23S,GPS,MIL5,MIL5,30_10_2018,30_10_2018,,MIL5-DH02802,BAU-MIL5-DH02802,BAU-MIL5-DH02802,BAU-MIL5-DH02802
BAU-MIL5-DH02810,803503_1971,182373.2454,9642545.9577,123.01,2018,NONE,17.37,SAD69_23S,SURV,MIL5,MIL5,30_10_2018,30_10_2018,,MIL5-DH02810,BAU-MIL5-DH02810,BAU-MIL5-DH02810,BAU-MIL5-DH02810
BAU-MIL5-DH02818,803503_1971,181963.507,9642547.9878,122.26,2018,NONE,16.02,SAD69_23S,SURV,MIL5,MIL5,06_11_2018,06_11_2018,,MIL5-DH02818,BAU-MIL5-DH02818,BAU-MIL5-DH02818,BAU-MIL5-DH02818
BAU-MIL5-DH02819,803503_1971,181978.6668,9642122.3895,124.32,2018,NONE,15.78,SAD69_23S,SURV,MIL5,MIL5,07_11_2018,07_11_2018,,MIL5-DH02819,BAU-MIL5-DH02819,BAU-MIL5-DH02819,BAU-MIL5-DH02819
BAU-MIL5-DH02820,803503_1971,182380.9451,9641751.2108,125.49,2018,NONE,13.44,SAD69_23S,SURV,MIL5,MIL5,07_11_2018,07_11_2018,,MIL5-DH02820,BAU-MIL5-DH02820,BAU-MIL5-DH02820,BAU-MIL5-DH02820
BAU-MIL5-DH02821,803503_1971,181578.5782,9641342.2727,125.9,2018,NONE,16.97,SAD69_23S,SURV,MIL5,MIL5,07_11_2018,07_11_2018,,MIL5-DH02821,BAU-MIL5-DH02821,BAU-MIL5-DH02821,BAU-MIL5-DH02821
BAU-MIL5-DH02832,803503_1971,181577.7486,9642546.5979,121.89,2018,NONE,19.41,SAD69_23S,SURV,MIL5,MIL5,06_11_2018,06_11_2018,,MIL5-DH02832,BAU-MIL5-DH02832,BAU-MIL5-DH02832,BAU-MIL5-DH02832
BAU-MIL5-DH02833,803503_1971,181572.5884,9642144.6795,123.6,2018,NONE,16.72,SAD69_23S,SURV,MIL5,MIL5,06_11_2018,06_11_2018,,MIL5-DH02833,BAU-MIL5-DH02833,BAU-MIL5-DH02833,BAU-MIL5-DH02833
BAU-MIL5-DH02834,803503_1971,181576.8683,9641746.3611,125.04,2018,NONE,17.53,SAD69_23S,SURV,MIL5,MIL5,07_11_2018,07_11_2018,,MIL5-DH02834,BAU-MIL5-DH02834,BAU-MIL5-DH02834,BAU-MIL5-DH02834
BAU-MIL5-DH02835,803503_1971,181971.8467,9641753.7009,126.14,2018,NONE,13.48,SAD69_23S,SURV,MIL5,MIL5,07_11_2018,07_11_2018,,MIL5-DH02835,BAU-MIL5-DH02835,BAU-MIL5-DH02835,BAU-MIL5-DH02835
BAU-MIL5-DH02836,803503_1971,181976.9666,9641347.5925,122.05,2018,NONE,11.47,SAD69_23S,SURV,MIL5,MIL5,07_11_2018,07_11_2018,,MIL5-DH02836,BAU-MIL5-DH02836,BAU-MIL5-DH02836,BAU-MIL5-DH02836
BAU-MIL5-DH02837,803503_1971,181573.3681,9640940.7343,126.24,2018,NONE,12.35,SAD69_23S,SURV,MIL5,MIL5,07_11_2018,07_11_2018,,MIL5-DH02837,BAU-MIL5-DH02837,BAU-MIL5-DH02837,BAU-MIL5-DH02837
BAU-MIL5-DH02848,803503_1971,181767.4971,9640321.0667,113.96,2018,NONE,8.3,SAD69_23S,SURV,MIL5,MIL5,09_11_2018,09_11_2018,,MIL5-DH02848,BAU-MIL5-DH02848,BAU-MIL5-DH02848,BAU-MIL5-DH02848
BAU-MIL5-DH02885,803503_1971,182372.075,9641354.5624,116.74,2018,NONE,12.64,SAD69_23S,SURV,MIL5,MIL5,21_11_2018,21_11_2018,,MIL5-DH02885,BAU-MIL5-DH02885,BAU-MIL5-DH02885,BAU-MIL5-DH02885
BAU-MIL5-DH02887,803503_1971,181983.0464,9640940.3842,115.4,2018,NONE,7.25,SAD69_23S,SURV,MIL5,MIL5,21_11_2018,21_11_2018,,MIL5-DH02887,BAU-MIL5-DH02887,BAU-MIL5-DH02887,BAU-MIL5-DH02887
BAU-MIL5-DH02889,803503_1971,181946.1165,9640533.7758,114.68,2018,NONE,5.6,SAD69_23S,SURV,MIL5,MIL5,21_11_2018,21_11_2018,,MIL5-DH02889,BAU-MIL5-DH02889,BAU-MIL5-DH02889,BAU-MIL5-DH02889
BAU-MIL5-DH02891,803503_1971,181576.4679,9640541.5359,121.24,2018,NONE,14.07,SAD69_23S,SURV,MIL5,MIL5,21_11_2018,21_11_2018,,MIL5-DH02891,BAU-MIL5-DH02891,BAU-MIL5-DH02891,BAU-MIL5-DH02891
BAU-MIL5-DH03018,803503_1971,183565.4612,9644155.1309,122.13,2019,NONE,12.86,SAD69_23S,SURV,MIL5,MIL5,22_10_2019,22_10_2019,,MIL5-DH03018,BAU-MIL5-DH03018,BAU-MIL5-DH03018,BAU-MIL5-DH03018
BAU-MIL5-DH03019,803503_1971,183359.342,9644143.391,123.36,2019,NONE,13.31,SAD69_23S,SURV,MIL5,MIL5,22_10_2019,22_10_2019,,MIL5-DH03019,BAU-MIL5-DH03019,BAU-MIL5-DH03019,BAU-MIL5-DH03019
BAU-MIL5-DH03020,803503_1971,183167.7228,9644153.951,124.18,2019,NONE,15.06,SAD69_23S,SURV,MIL5,MIL5,22_10_2019,22_10_2019,,MIL5-DH03020,BAU-MIL5-DH03020,BAU-MIL5-DH03020,BAU-MIL5-DH03020
BAU-MIL5-DH03022,803503_1971,184377.108,9644148.9206,123.54,2019,NONE,12.61,SAD69_23S,SURV,MIL5,MIL5,22_10_2019,22_10_2019,,MIL5-DH03022,BAU-MIL5-DH03022,BAU-MIL5-DH03022,BAU-MIL5-DH03022
BAU-MIL5-DH03023,803503_1971,184151.4589,9644151.9207,122.08,2019,NONE,17.01,SAD69_23S,SURV,MIL5,MIL5,22_10_2019,22_10_2019,,MIL5-DH03023,BAU-MIL5-DH03023,BAU-MIL5-DH03023,BAU-MIL5-DH03023
BAU-MIL5-DH03024,803503_1971,183961.5097,9644147.3108,121.2,2019,NONE,17.41,SAD69_23S,SURV,MIL5,MIL5,23_10_2019,23_10_2019,,MIL5-DH03024,BAU-MIL5-DH03024,BAU-MIL5-DH03024,BAU-MIL5-DH03024
